trial,Self_RA,Opponent_RL,Feedback_RA,Feedback_RL,RL_estimated_value_left,RL_estimated_value_right,alpha,Cumulative_Performance
1,0,0,1,0,0.5,0.5,0.4,1
2,1,1,1,0,0.3,0.7,0.4,1
3,0,1,0,1,0.3,0.7,0.4,0.6666666666666666
4,1,1,1,0,0.3,0.7,0.4,0.75
5,1,1,1,0,0.3,0.7,0.4,0.8
6,1,0,0,1,0.3,0.7,0.4,0.6666666666666666
7,1,0,0,1,0.58,0.42000000000000004,0.4,0.5714285714285714
8,1,0,0,1,0.748,0.252,0.4,0.5
9,1,1,1,0,0.8488,0.1512,0.4,0.5555555555555556
10,1,1,1,0,0.8488,0.1512,0.4,0.6
11,1,0,0,1,0.8488,0.1512,0.4,0.5454545454545454
12,1,1,1,0,0.90928,0.09072000000000002,0.4,0.5833333333333334
13,1,0,0,1,0.90928,0.09072000000000002,0.4,0.5384615384615384
14,1,0,0,1,0.945568,0.054432000000000036,0.4,0.5
15,1,0,0,1,0.9673408,0.0326592,0.4,0.4666666666666667
16,0,0,1,0,0.98040448,0.019595519999999977,0.4,0.5
17,1,1,1,0,0.588242688,0.411757312,0.4,0.5294117647058824
18,1,0,0,1,0.588242688,0.411757312,0.4,0.5
19,1,1,1,0,0.7529456128,0.24705438719999995,0.4,0.5263157894736842
20,0,0,1,0,0.7529456128,0.24705438719999995,0.4,0.55
21,0,1,0,1,0.45176736768000003,0.54823263232,0.4,0.5238095238095238
22,1,1,1,0,0.45176736768000003,0.54823263232,0.4,0.5454545454545454
23,1,0,0,1,0.45176736768000003,0.54823263232,0.4,0.5217391304347826
24,1,1,1,0,0.671060420608,0.328939579392,0.4,0.5416666666666666
25,1,1,1,0,0.671060420608,0.328939579392,0.4,0.56
26,0,0,1,0,0.671060420608,0.328939579392,0.4,0.5769230769230769
27,0,0,1,0,0.4026362523648,0.5973637476352001,0.4,0.5925925925925926
28,0,0,1,0,0.24158175141888,0.75841824858112,0.4,0.6071428571428571
29,1,1,1,0,0.14494905085132798,0.855050949148672,0.4,0.6206896551724138
30,0,0,1,0,0.14494905085132798,0.855050949148672,0.4,0.6333333333333333
31,1,1,1,0,0.08696943051079678,0.9130305694892032,0.4,0.6451612903225806
32,1,0,0,1,0.08696943051079678,0.9130305694892032,0.4,0.625
33,1,1,1,0,0.45218165830647805,0.547818341693522,0.4,0.6363636363636364
34,1,0,0,1,0.45218165830647805,0.547818341693522,0.4,0.6176470588235294
35,1,1,1,0,0.6713089949838869,0.32869100501611315,0.4,0.6285714285714286
36,0,1,0,1,0.6713089949838869,0.32869100501611315,0.4,0.6111111111111112
37,0,1,0,1,0.6713089949838869,0.32869100501611315,0.4,0.5945945945945946
38,1,1,1,0,0.6713089949838869,0.32869100501611315,0.4,0.6052631578947368
39,1,1,1,0,0.6713089949838869,0.32869100501611315,0.4,0.6153846153846154
40,1,0,0,1,0.6713089949838869,0.32869100501611315,0.4,0.6
41,1,1,1,0,0.8027853969903321,0.19721460300966787,0.4,0.6097560975609756
42,1,1,1,0,0.8027853969903321,0.19721460300966787,0.4,0.6190476190476191
43,1,1,1,0,0.8027853969903321,0.19721460300966787,0.4,0.627906976744186
44,1,0,0,1,0.8027853969903321,0.19721460300966787,0.4,0.6136363636363636
45,1,0,0,1,0.8816712381941993,0.11832876180580065,0.4,0.6
46,1,0,0,1,0.9290027429165196,0.07099725708348037,0.4,0.5869565217391305
47,1,1,1,0,0.9574016457499118,0.04259835425008818,0.4,0.5957446808510638
48,1,0,0,1,0.9574016457499118,0.04259835425008818,0.4,0.5833333333333334
49,0,0,1,0,0.9744409874499471,0.025559012550052884,0.4,0.5918367346938775
50,1,1,1,0,0.5846645924699683,0.41533540753003173,0.4,0.6
51,1,0,0,1,0.5846645924699683,0.41533540753003173,0.4,0.5882352941176471
52,1,0,0,1,0.7507987554819809,0.24920124451801906,0.4,0.5769230769230769
53,0,0,1,0,0.8504792532891886,0.1495207467108114,0.4,0.5849056603773585
54,1,0,0,1,0.5102875519735132,0.48971244802648684,0.4,0.5740740740740741
55,0,0,1,0,0.7061725311841079,0.29382746881589206,0.4,0.5818181818181818
56,1,0,0,1,0.42370351871046474,0.5762964812895353,0.4,0.5714285714285714
57,1,0,0,1,0.6542221112262788,0.3457778887737212,0.4,0.5614035087719298
58,1,0,0,1,0.7925332667357673,0.2074667332642327,0.4,0.5517241379310345
59,0,0,1,0,0.8755199600414604,0.12448003995853962,0.4,0.559322033898305
60,1,0,0,1,0.5253119760248762,0.4746880239751238,0.4,0.55
61,0,0,1,0,0.7151871856149258,0.2848128143850742,0.4,0.5573770491803278
62,1,1,1,0,0.42911231136895545,0.5708876886310446,0.4,0.5645161290322581
63,1,1,1,0,0.42911231136895545,0.5708876886310446,0.4,0.5714285714285714
64,1,1,1,0,0.42911231136895545,0.5708876886310446,0.4,0.578125
65,1,0,0,1,0.42911231136895545,0.5708876886310446,0.4,0.5692307692307692
66,1,1,1,0,0.6574673868213733,0.3425326131786267,0.4,0.5757575757575758
67,1,0,0,1,0.6574673868213733,0.3425326131786267,0.4,0.5671641791044776
68,1,1,1,0,0.794480432092824,0.20551956790717596,0.4,0.5735294117647058
69,1,0,0,1,0.794480432092824,0.20551956790717596,0.4,0.5652173913043478
70,1,0,0,1,0.8766882592556944,0.12331174074430562,0.4,0.5571428571428572
71,1,0,0,1,0.9260129555534167,0.07398704444658333,0.4,0.5492957746478874
72,0,0,1,0,0.95560777333205,0.04439222666794995,0.4,0.5555555555555556
73,0,1,0,1,0.57336466399923,0.42663533600076997,0.4,0.547945205479452
74,1,1,1,0,0.57336466399923,0.42663533600076997,0.4,0.5540540540540541
75,1,0,0,1,0.57336466399923,0.42663533600076997,0.4,0.5466666666666666
76,1,1,1,0,0.744018798399538,0.255981201600462,0.4,0.5526315789473685
77,0,1,0,1,0.744018798399538,0.255981201600462,0.4,0.5454545454545454
78,1,1,1,0,0.744018798399538,0.255981201600462,0.4,0.5512820512820513
79,1,1,1,0,0.744018798399538,0.255981201600462,0.4,0.5569620253164557
80,1,0,0,1,0.744018798399538,0.255981201600462,0.4,0.55
81,0,1,0,1,0.8464112790397228,0.1535887209602772,0.4,0.5432098765432098
82,1,1,1,0,0.8464112790397228,0.1535887209602772,0.4,0.5487804878048781
83,1,1,1,0,0.8464112790397228,0.1535887209602772,0.4,0.5542168674698795
84,0,0,1,0,0.8464112790397228,0.1535887209602772,0.4,0.5595238095238095
85,1,1,1,0,0.5078467674238336,0.4921532325761664,0.4,0.5647058823529412
86,1,1,1,0,0.5078467674238336,0.4921532325761664,0.4,0.5697674418604651
87,1,0,0,1,0.5078467674238336,0.4921532325761664,0.4,0.5632183908045977
88,1,0,0,1,0.7047080604543001,0.2952919395456999,0.4,0.5568181818181818
89,0,1,0,1,0.8228248362725801,0.17717516372741993,0.4,0.550561797752809
90,1,0,0,1,0.8228248362725801,0.17717516372741993,0.4,0.5444444444444444
91,1,1,1,0,0.893694901763548,0.10630509823645196,0.4,0.5494505494505495
92,1,0,0,1,0.893694901763548,0.10630509823645196,0.4,0.5434782608695652
93,1,0,0,1,0.9362169410581288,0.0637830589418712,0.4,0.5376344086021505
94,0,0,1,0,0.9617301646348773,0.03826983536512274,0.4,0.5425531914893617
95,1,0,0,1,0.5770380987809263,0.42296190121907373,0.4,0.5368421052631579
96,0,1,0,1,0.7462228592685558,0.2537771407314442,0.4,0.53125
97,1,0,0,1,0.7462228592685558,0.2537771407314442,0.4,0.5257731958762887
98,1,0,0,1,0.8477337155611335,0.15226628443886647,0.4,0.5204081632653061
99,1,0,0,1,0.9086402293366801,0.0913597706633199,0.4,0.5151515151515151
100,1,1,1,0,0.945184137602008,0.054815862397991966,0.4,0.52
101,1,1,1,0,0.945184137602008,0.054815862397991966,0.4,0.5247524752475248
102,1,0,0,1,0.945184137602008,0.054815862397991966,0.4,0.5196078431372549
103,1,0,0,1,0.9671104825612048,0.0328895174387952,0.4,0.5145631067961165
104,0,1,0,1,0.9802662895367229,0.0197337104632771,0.4,0.5096153846153846
105,1,0,0,1,0.9802662895367229,0.0197337104632771,0.4,0.5047619047619047
106,1,1,1,0,0.9881597737220338,0.011840226277966215,0.4,0.5094339622641509
107,1,0,0,1,0.9881597737220338,0.011840226277966215,0.4,0.5046728971962616
108,1,0,0,1,0.9928958642332203,0.007104135766779707,0.4,0.5
109,1,0,0,1,0.9957375185399322,0.004262481460067802,0.4,0.4954128440366973
110,1,0,0,1,0.9974425111239593,0.002557488876040681,0.4,0.4909090909090909
111,0,0,1,0,0.9984655066743756,0.0015344933256243865,0.4,0.4954954954954955
112,1,1,1,0,0.5990793040046254,0.4009206959953746,0.4,0.5
113,1,0,0,1,0.5990793040046254,0.4009206959953746,0.4,0.49557522123893805
114,1,1,1,0,0.7594475824027752,0.2405524175972248,0.4,0.5
115,1,0,0,1,0.7594475824027752,0.2405524175972248,0.4,0.4956521739130435
116,0,0,1,0,0.8556685494416651,0.14433145055833485,0.4,0.5
117,1,1,1,0,0.5134011296649991,0.48659887033500093,0.4,0.5042735042735043
118,0,1,0,1,0.5134011296649991,0.48659887033500093,0.4,0.5
119,1,0,0,1,0.5134011296649991,0.48659887033500093,0.4,0.4957983193277311
120,1,0,0,NA,0.7080406777989995,0.2919593222010005,0.4,0.49166666666666664
